voltage,soc,dsoc_dV,dV_dsoc
3.153,0,,
3.154,1.87E-06,-0.00696493,-143.5764547
3.155,5.84E-06,-0.003544094,-282.1595305
3.156,1.17E-05,-0.000123258,-8113.036357
3.157,1.94E-05,0.003297578,303.2529156
3.158,2.86E-05,0.006718413,148.8446646
3.159,3.93E-05,0.010139249,98.62662996
3.16,5.12E-05,0.013560085,73.74584847
3.161,6.52E-05,0.016980921,58.88961985
3.162,8.25E-05,0.020401757,49.01538569
3.163,0.000102891,0.023822593,41.97695827
3.164,0.000126511,0.027243429,36.70609875
3.165,0.000153334,0.030664265,32.61124953
3.166,0.000182996,0.034022266,29.39251626
3.167,0.000216365,0.037959822,26.34364297
3.168,0.00025529,0.041815931,23.91433042
3.169,0.000301623,0.044719848,22.36143558
3.17,0.000357215,0.046781491,21.37597521
3.171,0.000418135,0.049268289,20.29703129
3.172,0.000479174,0.052987484,18.87238123
3.173,0.000540267,0.060517106,16.52425347
3.174,0.000601349,0.062171447,16.08455398
3.175,0.000662355,0.063661903,15.70798159
3.176,0.000723253,0.064971147,15.39144762
3.177,0.000784079,0.06608643,15.13169944
3.178,0.000844874,0.066999559,14.92547128
3.179,0.000905679,0.067664005,14.77890654
3.18,0.000966536,0.068205709,14.66152919
3.181,0.001043812,0.068874903,14.51907667
3.182,0.001141245,0.069984515,14.28887522
3.183,0.001239931,0.071468324,13.99221274
3.184,0.001320966,0.07293023,13.71173521
3.185,0.001320551,0.074190537,13.47880796
3.186,0.001399027,0.075257171,13.28777021
3.187,0.001478608,0.076132719,13.13495713
3.188,0.001559312,0.076814343,13.01840207
3.189,0.00164116,0.07409393,13.49638215
3.19,0.001724168,0.075886323,13.17760511
3.191,0.001808682,0.078418386,12.75211145
3.192,0.001893397,0.080165191,12.47424216
3.193,0.001975864,0.080103291,12.48388156
3.194,0.00205236,0.079342533,12.60358043
3.195,0.002126522,0.080273003,12.45748841
3.196,0.002203266,0.083534205,11.971144
3.197,0.00228177,0.088232116,11.33374154
3.198,0.002362011,0.086444908,11.56806139
3.199,0.002443967,0.086991771,11.49534022
3.2,0.002527618,0.087703455,11.40205933
